place_name,lat,lng,confidence,verify_note,precision
suvarnabhumi,13.690815,100.764589,confirmed,"YOUR OWN pin from Google Maps - already verified",exact
don mueang,13.914000,100.601700,confirmed,"Adjusted pin confirmed on map 9 Aug",exact
laem ngop pier,12.175508,102.387151,confirmed,"Koh Mak speedboat pier confirmed 9 Aug",exact
ao thammachat pier,12.187163,102.301316,confirmed,"",exact
white sand beach,12.111805,102.268052,good,"",zone
klong prao,12.061873,102.286768,good,"",zone
kai bae,12.024668,102.291151,good,"",zone
lonely beach,12.007863,102.292899,good,"",zone
bang bao pier,11.971313,102.312257,good,"",exact
salak phet,11.985000,102.352115,good,"",zone
klong son,12.131627,102.275222,confirmed,"Corrected 9 Aug",zone
pattaya,12.934445,100.883917,confirmed,"",zone
trat town,12.242500,102.515000,confirmed,"",zone
chanthaburi,12.599011,102.124332,confirmed,"",zone
rayong,12.680800,101.253700,confirmed,"",zone
ban phe pier,12.625900,101.439460,good,"",exact
mo chit bus terminal,13.813156,100.548700,good,"",exact
ekkamai bus terminal,13.719569,100.584000,good,"",exact
krung thep aphiwat,13.803690,100.542270,good,"",exact
koh kood ao salad pier,11.707500,102.570770,good,"",exact
laem sok pier,12.044249,102.584356,confirmed,"Corrected 9 Aug",exact
trat bus terminal,12.2405,102.5065,confirmed,"",exact
koh chang generic,12.050000,102.310000,good,"Island-level catch-all (decision 1, 9 Aug) - west-coast midpoint, CONFIRM pin",generic
